グラフ中のタイトルをsに設定する	plt.title(s)
リストxdataをビスク色のヒストグラムで描画する	plt.hist(xdata, color='bisque')
散布図にダークオリーブグリーン色のマーカーを使う	plt.plot(xdata, ydata, c='darkolivegreen')
リストxdataとリストydataについて散布図を描画して、マーカーの色を淡いピンク色に設定する	plt.plot(xdata, ydata, c='lightpink')
破線グラフの色をグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='grey')
ミッドナイトブルー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='midnightblue')
フクシア色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='fuchsia')
日時dtの時刻	dt.time()
オブジェクトobjがオブジェクトobj2か調べる	obj == obj2
リストxdataとリストydataについての散布図をシーグリーン色で描画する	plt.plot(xdata, ydata, c='seagreen')
折れ線グラフの色をコーンズシルクに設定する	plt.plot(xdata, ydata, color='cornsilk')
リストxdataをダークカーキ色のヒストグラムで描画する	plt.hist(xdata, color='darkkhaki')
リストxdataとリストydataについての散布図をオーキッド色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='orchid', alpha=0.5)
折れ線グラフの色をフォレストグリーンに設定する	plt.plot(xdata, ydata, color='forestgreen')
sのn番目とn2番目の間にs2が含まれるか調べる	s.find(s2, start=n, end=n2) != -1
リストiterableとリストiterable2の全組み合わせ	list(itertools.product(iterable, iterable2))
空のリスト	[]
空の両端キューを新しく作って、Xに代入する	X = collections.deque()
リストxdataとリストydataについて散布図を描画して、マーカーの色をサドルブラウンに設定する	plt.plot(xdata, ydata, c='saddlebrown')
ブルーバイオレット色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='blueviolet')
リストalistのn番目の	alist[n]
日付adateが日曜日か調べる	adate.weekday() == 6
モカシン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='moccasin', alpha=0.5)
フクシア色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='fuchsia')
タプルatupleのn番目からn2番目までの部分	atuple[n:n2]
ミディアムスレートブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mediumslateblue')
リストxdataとリストydataについてマゼンタ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='magenta')
赤い左三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='<', c='r')
sを赤色にする	f'\033[31m{s}\033[0m'
2×3の空配列を作る	np.empty((2, 3))
ペルー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='peru')
