x2をxとする	x = x2
x2をxに代入する	x = x2
x2をxに設定する	x = x2
x2をxにセットする	x = x2
x2をxに変更する	x = x2
xはx2である	x = x2
xとx2の値をスワップする	x, x2 = x2, x
xとx2の値を入れ替える	x, x2 = x2, x
xとx2の両方ともnとする	x = x2 = n
xとx2の両方にnを代入する	x = x2 = n
xとx2の両方をnに設定する	x = x2 = n
xとx2の両方をnに変更する	x = x2 = n
xとx2をそれぞれnとn2とする	x, x2 = n, n2
それぞれnとn2をxとx2に代入する	x, x2 = n, n2
xとx2をそれぞれnとn2に設定する	x, x2 = n, n2
xとx2をそれぞれnとn2に変更する	x, x2 = n, n2
x,x2,x3をそれぞれn,n2,n3とする	x, x2, x3 = n, n2, n3
x,x2,x3にそれぞれn,n2,n3を代入する	x, x2, x3 = n, n2, n3
x,x2,x3をそれぞれn,n2,n3に設定する	x, x2, x3 = n, n2, n3
x,x2,x3をそれぞれn,n2,n3にする	x, x2, x3 = n, n2, n3
xの絶対値	abs(x)
xを論理値に変換する	bool(x)
xが真か調べる	bool(x)
xが真	bool(x)
xが真かどうか調べる	bool(x)
x,x2の複素数	complex(x, x2)
xとx2の商と余りをペアで使う	divmod(x, x2)
xを浮動小数点数に変換する	float(x)
xを整数に変換する	int(x)
xを印字できる文字列にする	ascii(x)
xの印字可能な文字列	ascii(x)
xの絶対値	abs(x)
xの複素数	complex(x)
xとx2から成る複素数	complex(x, x2)
xを実部、x2を虚部とした複素数	complex(x, x2)
xを実部x2を虚部とした複素数	complex(x, x2)
商と余りを同時に計算する	divmod(x, x2)
xのハッシュ値	hash(x)
xのハッシュ値を計算する	hash(x)
xのx2乗	pow(x, x2)
xのx2乗のx3剰余	pow(x, x2, x3)
xのx2乗してx3による余り	pow(x, x2, x3)
xの小数点以下を丸める	round(x)
xをの小数点以下第一位で丸める	round(x, 1)
xをを小数点第一位で四捨五入する	round(x, 1)
xをを小数点以下第一位で丸める	round(x, 1)
xの小数点以下第n位で丸める	round(x, n)
xを小数点以下第n位で丸める	round(x, n)
xを小数点第n位で四捨五入する	round(x, n)
xの小数点以下第n位で四捨五入する	round(x, n)
xの十の位で丸める	round(x, -1)
xの百の位で丸める	round(x, -2)
xの千の位で丸める	round(x, -3)
xを千の位で丸める	round(x, -3)
x、x2、x3の最大値	max(x, x2, x3)
x、x2、x3のの内で最大値	max(x, x2, x3)
xx2、x3ので一番小さい値	max(x, x2, x3)
x、x2、x3のうち一番小さい値	max(x, x2, x3)
x、x2、x3のうち最も大きい値を求める	max(x, x2, x3)
x、x2、x3の最小値	min(x, x2, x3)
x、x2x3の最小値	min(x, x2, x3)
x、x2、x3の一番小さい値	min(x, x2, x3)
x、x2、x3のうち最小の値を求める	min(x, x2, x3)
xを浮動小数点数型に変換する	float(x)
xを浮動小数点数にする	float(x)
xを浮動小数点数に変換する	float(x)
xを整数型に変換する	int(x)
xを整数型にする	int(x)
xを文字列型に変換する	str(x)
nかつn2	n and n2
nまたはn2	n or n2
nではない	not n
真	True
偽	False
未定値	None
コレクションを使う	import collections
コレクションを用いる	import collections
空の両端キューを新しく作る	collections.deque()
新しくdequeを作る	collections.deque()
空のスタックを新たに用意する	collections.deque()
空のデックを用意する	collections.deque()
空の両端キューを準備する	collections.deque()
リストiterableから両端キューを新しく作る	collections.deque(iterable)
タプルiterableから新たに両端キューを用意する	collections.deque(iterable)
イテラブルiterableからキューを作る	collections.deque(iterable)
両端キューをイテラブルiterableから新たに作成する	collections.deque(iterable)
列iterableから両端キューを新しく準備する	collections.deque(iterable)
リストiterableを両端キューに変換する	collections.deque(iterable)
イテラブルiterableを両端キューに変換する	collections.deque(iterable)
列iterableをdequeにする	collections.deque(iterable)
タプルiterableを両端キューに変換する	collections.deque(iterable)
イテラブルiterableをキューに変換する	collections.deque(iterable)
最大長をnにして両端キューを新しく作る	collections.deque(maxlen=n)
デックを新しく上限をnに制限して生成する	collections.deque(maxlen=n)
最大長をnにして両端キューを新しく用意する	collections.deque(maxlen=n)
最大長をnにしてスタックを生成する	collections.deque(maxlen=n)
最大長をnにしてdequeを新しく作成する	collections.deque(maxlen=n)
最大長nの両端キューを新しく作る	collections.deque(maxlen=n)
上限nの両端キューを新しく作る	collections.deque(maxlen=n)
上限制限された長さnの両端キューを準備する	collections.deque(maxlen=n)
最大長nの双方向キューを新しく作成する	collections.deque(maxlen=n)
最大長をnにしてリストiterableから両端キューを作る	collections.deque(iterable, maxlen=n)
最大長をnにして両端キューをリストiterableから作る	collections.deque(iterable, maxlen=n)
タプルiterableから両端キューを最大長をnに制限して作る	collections.deque(iterable, maxlen=n)
リストiterableからキューを最大長をnにして用意する	collections.deque(iterable, maxlen=n)
デックを最大長をnに制限して列iterableから用意する	collections.deque(iterable, maxlen=n)
最大長nの両端キューをリストiterableから作る	collections.deque(iterable, maxlen=n)
列iterableから上限nのキューを作る	collections.deque(iterable, maxlen=n)
上限nのdequeをイテラブルiterableから作る	collections.deque(iterable, maxlen=n)
上限nのキューを列iterableから新しく作る	collections.deque(iterable, maxlen=n)
上限nの両端キューを配列iterableから作る	collections.deque(iterable, maxlen=n)
リストiterableのテイルフィルタを作る	collections.deque(iterable, maxlen=n)
イテラブルiterableのテイルフィルタを準備する	collections.deque(iterable, maxlen=n)
列iterableのテイルフィルタを生成する	collections.deque(iterable, maxlen=n)
イテラブルiterableのテイルフィルタを作る	collections.deque(iterable, maxlen=n)
iterableのテイルフィルタを新規生成する	collections.deque(iterable, maxlen=n)
空の両端キューを新しく作って、Xに代入する	X = collections.deque()
空の両端キューを新しく用意して、Xに代入する	X = collections.deque()
新しく空の両端キューを新規生成して、Xに代入する	X = collections.deque()
双方向キューを新しく生成して、Xに代入する	X = collections.deque()
リストiterableから両端キューを新しく作って、Xに代入する	X = collections.deque(iterable)
列iterableから両端キューを新しく新規生成してXにする	X = collections.deque(iterable)
キューをタプルiterableから用意して、Xにする	X = collections.deque(iterable)
リストiterableからdequeオブジェクトを新たに準備してXに代入する	X = collections.deque(iterable)
両端キューを新たにイテラブルiterableから作成してXとする	X = collections.deque(iterable)
最大長をnにして両端キューを新しく作って、Xに代入する	X = collections.deque(maxlen=n)
最大長をnにして両端キューを新しく生成して、Xに代入する	X = collections.deque(maxlen=n)
新たに最大長をnにしてキューを作成して、Xとする	X = collections.deque(maxlen=n)
上限をnにして双方向キューを生成して、Xとする	X = collections.deque(maxlen=n)
最大長をnにしてキューを新たに作って、Xに代入する	X = collections.deque(maxlen=n)
最大長nの両端キューを新しく作る	X = collections.deque(maxlen=n)
最大長nの双方向キューを作る	X = collections.deque(maxlen=n)
最大長nのスタックを新しく作る	X = collections.deque(maxlen=n)
最大長nの両端キューを新しく生成する	X = collections.deque(maxlen=n)
最大長nの両端キューを新しく作成する	X = collections.deque(maxlen=n)
最大長をnにしてリストiterableから両端キューを作って、Xに代入する	X = collections.deque(iterable, maxlen=n)
上限をnに制限して配列iterableからデックを生成してXにする	X = collections.deque(iterable, maxlen=n)
最大長をnに制限してリストiterableから両端キューを新たに作って、Xに代入する	X = collections.deque(iterable, maxlen=n)
イテラブルiterableから最大長をnに制限して両端キューを準備してXとする	X = collections.deque(iterable, maxlen=n)
最大長をnにしてイテラブルiterableから両端キューを新規生成して、Xとする	X = collections.deque(iterable, maxlen=n)
最大長nの両端キューをリストiterableから作って、Xに代入する	X = collections.deque(iterable, maxlen=n)
最大長nのdequeオブジェクトをリストiterableから生成して、Xにする	X = collections.deque(iterable, maxlen=n)
iterableから最大長nの両端キューを作ってXにする	X = collections.deque(iterable, maxlen=n)
リストiterableから上限nのdequeを新規生成して、Xに代入する	X = collections.deque(iterable, maxlen=n)
デックdeqの先頭に文字列elementを追加する	deq.appendleft(element)
デックdeqの最初にオブジェクトelementを追加する	deq.appendleft(element)
deqの最初にelementを追加する	deq.appendleft(element)
デックdeqの最初に文字列elementを追加する	deq.appendleft(element)
デックdeqに文字列elementをエンキューする	deq.appendleft(element)
deqにelementをデータを入れる	deq.appendleft(element)
デックdeqにelementをエンキューする	deq.appendleft(element)
デックdeqの末尾に文字列elementを追加する	deq.append(element)
デックdeqの最後にオブジェクトelementを追加する	deq.append(element)
デックdeqの最後にオブジェクトelementを付け加える	deq.append(element)
デックdeqの最後に文字列elementを追加する	deq.append(element)
デックdeqに文字列elementをプッシュする	deq.append(element)
デックdeqにオブジェクトelementをスタックする	deq.append(element)
elementをデックdeqにプッシュする	deq.append(element)
デックdeqの先頭にリストiterableの各要素を追加する	deq.extendleft(iterable)
deqの先頭にイテラブルiterableの各値を追加する	deq.extendleft(iterable)
deqの先頭にタプルiterableの各要素を追加する	deq.extendleft(iterable)
deqの左にイテラブルiterableの各要素を追加する	deq.extendleft(iterable)
deqの最初にイテラブルiterableの要素を順に追加する	deq.extendleft(iterable)
デックdeqの末尾にリストiterableの各要素を追加する	deq.extend(iterable)
iterableの各要素をデックdeqの末尾に付け加える	deq.extend(iterable)
deqの右にiterableの各要素を追加する	deq.extend(iterable)
デックdeqの最後にリストiterableの値を追加する	deq.extend(iterable)
列iterableの各データを順にdeqの末尾に追加する	deq.extend(iterable)
デックdeqのn番目に文字列elementを挿入する	deq.insert(n, element)
deqのn番目に文字列elementを挿入する	deq.insert(n, element)
deqのn番目に文字列elementを途中追加する	deq.insert(n, element)
デックdeqの先頭から要素を取り除く	deq.popleft()
deqの先頭から値を取り除く	deq.popleft()
