x2をxに代入する	x = x2
xはx2である	x = x2
x2をxとする	x = x2
x2をxに設定する	x = x2
x2をxに変更する	x = x2
x2をxにする	x = x2
xとx2の値を入れ替える	x, x2 = x2, x
xとx2の値をスワップする	x, x2 = x2, x
xとx2の両方をnに設定する	x = x2 = n
xとx2の両方ともnとする	x = x2 = n
xとx2の両方にnを代入する	x = x2 = n
それぞれnとn2をxとx2とする	x, x2 = n, n2
それぞれnとn2をxとx2にする	x, x2 = n, n2
xとx2をそれぞれnとn2に変更する	x, x2 = n, n2
xとx2をそれぞれnとn2に設定する	x, x2 = n, n2
xとx2をそれぞれnとn2とする	x, x2 = n, n2
xとx2をそれぞれnとn2にする	x, x2 = n, n2
それぞれnとn2をxとx2に代入する	x, x2 = n, n2
x,x2,x3をそれぞれn,n2,n3とする	x, x2, x3 = n, n2, n3
x,x2,x3にそれぞれn,n2,n3を代入する	x, x2, x3 = n, n2, n3
x,x2,x3をそれぞれn,n2,n3に設定する	x, x2, x3 = n, n2, n3
xの絶対値	abs(x)
xが真か調べる	bool(x)
xが真かどうか調べる	bool(x)
xを論理値に変換する	bool(x)
xを論理値にする	bool(x)
xが真か	bool(x)
x,x2の複素数	complex(x, x2)
xとx2の商と余りをペアで使う	divmod(x, x2)
xとx2の商と余りをペアで見る	divmod(x, x2)
xを浮動小数点数にする	float(x)
xを浮動小数点数に変換する	float(x)
xを整数に変換する	int(x)
xを印字できる文字列にする	ascii(x)
xの印字可能な文字列	ascii(x)
xの絶対値	abs(x)
xの絶対値を計算する	abs(x)
xの絶対値を求める	abs(x)
xの複素数	complex(x)
xを実部、x2を虚部とした複素数	complex(x, x2)
xとx2から成る複素数	complex(x, x2)
xを実部x2を虚部とした複素数を求める	complex(x, x2)
xを実部x2を虚部とした複素数を計算する	complex(x, x2)
商と余りを同時に計算する	divmod(x, x2)
xのハッシュ値	hash(x)
xのハッシュ値を計算する	hash(x)
xのx2乗	pow(x, x2)
xのx2乗を求める	pow(x, x2)
xのx2乗してx3による余り	pow(x, x2, x3)
xのx2乗のx3剰余	pow(x, x2, x3)
xのx2乗してx3による余りを計算する	pow(x, x2, x3)
xのx2乗のx3剰余を計算する	pow(x, x2, x3)
xの小数点を四捨五入する	round(x)
xの小数点以下を丸める	round(x)
xをを小数点以下第一位で四捨五入する	round(x, 1)
xをの小数点第一位で四捨五入する	round(x, 1)
xをの小数点以下第一位で丸める	round(x, 1)
xを小数点以下第n位で丸める	round(x, n)
xを小数点第n位で丸める	round(x, n)
xの小数点第n位で丸める	round(x, n)
xの小数点以下第n位で丸める	round(x, n)
xを十の位で丸める	round(x, -1)
xの十の位で四捨五入する	round(x, -1)
xの十の位で丸める	round(x, -1)
xの百の位で丸める	round(x, -2)
xの百の位で四捨五入する	round(x, -2)
xの千の位で丸める	round(x, -3)
x、x2x3ので最大値を求める	max(x, x2, x3)
x、x2、x3のうち一番小さい値	max(x, x2, x3)
x、x2、x3の最大値	max(x, x2, x3)
x、x2、x3の最大の値を求める	max(x, x2, x3)
xx2、x3の最小値を求める	min(x, x2, x3)
x、x2、x3の最も小さい値を算出する	min(x, x2, x3)
x、x2、x3の最小の値	min(x, x2, x3)
x、x2、x3の最小値	min(x, x2, x3)
xを浮動小数点数型にする	float(x)
xを浮動小数点数型に変換する	float(x)
xを浮動小数点数に変換する	float(x)
xを整数型に変換する	int(x)
xを文字列に変換する	str(x)
xを文字列型に変換する	str(x)
nかつn2	n and n2
nまたはn2	n or n2
nではない	not n
真	True
偽	False
未定値	None
コレクションを用いる	import collections
データ構造を使う	import collections
コレクションを使う	import collections
空のdequeオブジェクトを新しく作る	collections.deque()
空のスタックを新しく作る	collections.deque()
空のdequeを新しく作る	collections.deque()
空の両端キューを新しく作る	collections.deque()
リストiterableを両端キューに変換する	collections.deque(iterable)
リストiterableから両端キューを新しく作る	collections.deque(iterable)
両端キューを新たにイテラブルiterableから作る	collections.deque(iterable)
列iterableをdequeに変換する	collections.deque(iterable)
リストiterableをデックにする	collections.deque(iterable)
リストiterableから双方向キューを新たに作る	collections.deque(iterable)
配列iterableを両端キューにする	collections.deque(iterable)
リストiterableから両端キューを新しく生成する	collections.deque(iterable)
最大長をnにして両端キューを新規生成する	collections.deque(maxlen=n)
最大長nのデックを新たに作る	collections.deque(maxlen=n)
両端キューを最大長をnにして新たに作る	collections.deque(maxlen=n)
最大長nの両端キューを新しく作る	collections.deque(maxlen=n)
最大長をnにして両端キューを新しく作る	collections.deque(maxlen=n)
上限nのデックを用意する	collections.deque(maxlen=n)
上限nのdequeを新たに新規生成する	collections.deque(maxlen=n)
最大長をnに制限して両端キューを新しく作る	collections.deque(maxlen=n)
最大長をnに制限してiterableからdequeを作る	collections.deque(iterable, maxlen=n)
リストiterableのテイルフィルタを作る	collections.deque(iterable, maxlen=n)
最大長nの両端キューをリストiterableから新しく作る	collections.deque(iterable, maxlen=n)
iterableのテイルフィルタを用意する	collections.deque(iterable, maxlen=n)
リストiterableのtailフィルタを用意する	collections.deque(iterable, maxlen=n)
最大長をnにしてiterableから両端キューを生成する	collections.deque(iterable, maxlen=n)
最大長をnに制限して配列iterableから両端キューを生成する	collections.deque(iterable, maxlen=n)
最大長nの両端キューをiterableから新しく生成する	collections.deque(iterable, maxlen=n)
最大長をnにしてリストiterableから両端キューを作る	collections.deque(iterable, maxlen=n)
最大長nの両端キューをリストiterableから作る	collections.deque(iterable, maxlen=n)
